,0
fBodyGyro-skewness()-X,0.0006704055575826144
fBodyGyro-std()-Y,0.0006623901488190528
fBodyAcc-std()-Y,0.0006619449108959025
tBodyGyroJerkMag-energy(),0.0006615015473236724
"fBodyGyro-bandsEnergy()-41,48",0.0006612015802951211
"fBodyAcc-bandsEnergy()-1,16n",0.0006607039484264092
"fBodyGyro-bandsEnergy()-1,24n",0.0006499269183492724
"fBodyGyro-bandsEnergy()-1,8n",0.0006483233131888472
tBodyGyro-std()-Y,0.0006371815524772966
"fBodyGyro-bandsEnergy()-25,48nn",0.0006308973712075938
"fBodyGyro-bandsEnergy()-33,40",0.0006202192645319707
fBodyGyro-energy()-Y,0.0006153647119067831
"fBodyAcc-bandsEnergy()-9,16",0.0006145121079869078
fBodyGyro-meanFreq()-Z,0.0006105244085296236
tBodyAcc-iqr()-Y,0.0005991454944975046
tGravityAcc-iqr()-Y,0.0005903732314745292
fBodyAccJerk-mad()-Y,0.0005876033582174267
tBodyGyroMag-sma(),0.0005853527675534644
fBodyGyro-mad()-Y,0.0005849698146958662
tBodyGyro-iqr()-Y,0.0005754011829978744
tBodyAcc-energy()-Z,0.0005752967312748512
tBodyGyro-mean()-Z,0.0005707707113012992
tBodyGyro-max()-Z,0.000566750427891625
"fBodyAcc-bandsEnergy()-1,24nn",0.0005619548696650805
tBodyGyro-mad()-Y,0.0005601135206530238
tBodyGyro-energy()-Y,0.0005589115204543507
"tBodyGyroJerk-correlation()-X,Y",0.0005585109741164275
"fBodyAccJerk-bandsEnergy()-1,16nn",0.000544641352393923
"fBodyGyro-bandsEnergy()-33,48",0.0005430490279161771
tBodyGyro-mean()-Y,0.0005398801574982893
"angle(tBodyGyroMean,gravityMean)",0.0005360548801496833
"tBodyGyroJerk-correlation()-X,Z",0.0005336327581980795
fBodyAcc-skewness()-Z,0.0005266269034183013
fBodyAcc-std()-Z,0.0005198269725380199
"fBodyAccJerk-bandsEnergy()-1,24nn",0.0005094441811995034
tBodyAccJerk-max()-Y,0.000508658286545741
tBodyAcc-mad()-Y,0.0005032148117714298
"tBodyGyroJerk-correlation()-Y,Z",0.0005016978854048979
tGravityAcc-iqr()-Z,0.00048767150483258813
"fBodyGyro-bandsEnergy()-25,32nn",0.000487568858297355
fBodyAcc-mad()-Z,0.00048596559594481643
tBodyGyroJerk-max()-X,0.00048243917118042973
tBodyAccJerk-max()-Z,0.0004824188151545266
tBodyAccJerk-energy()-Z,0.00047576895107803355
"fBodyAccJerk-bandsEnergy()-9,16n",0.0004737085393971292
fBodyGyro-kurtosis()-X,0.0004736802837488202
"fBodyAccJerk-bandsEnergy()-9,16nn",0.0004705065148366895
tBodyAccJerkMag-energy(),0.00046889819166982425
"fBodyAccJerk-bandsEnergy()-33,48nn",0.00046718574167013027
"tBodyGyroJerk-arCoeff()-Z,4",0.00046630339248484226
"fBodyAccJerk-bandsEnergy()-25,48nn",0.0004662571479519634
fBodyAccJerk-std()-Z,0.0004655136847794065
tBodyGyroMag-max(),0.0004642048646317583
"fBodyAccJerk-bandsEnergy()-17,24n",0.00045541199511919665
"fBodyGyro-bandsEnergy()-49,64",0.000453061465168764
"fBodyAcc-bandsEnergy()-1,16nn",0.0004519651958772515
"fBodyGyro-bandsEnergy()-17,32nn",0.0004493598776421894
tBodyGyro-sma(),0.0004437730997214821
fBodyBodyGyroMag-sma(),0.00043798928390821146
fBodyGyro-entropy()-Y,0.000437461452313609
tBodyGyroJerk-max()-Y,0.0004358334416541766
tBodyAcc-sma(),0.0004354798182749618
fBodyGyro-mean()-Z,0.0004325242888312482
"fBodyGyro-bandsEnergy()-17,32n",0.00043027175853612207
"fBodyAcc-bandsEnergy()-25,32nn",0.0004189150907614904
tBodyGyroJerk-std()-Y,0.0004166724459026655
tBodyGyroJerkMag-iqr(),0.00041289916955325066
tBodyGyroJerk-energy()-Y,0.0004098762365469249
tBodyAcc-max()-Y,0.00040865047806265363
tBodyAccJerk-iqr()-Z,0.0004001545986471641
"fBodyGyro-bandsEnergy()-49,56",0.0003997900356620346
"tBodyGyro-arCoeff()-Y,1",0.0003993454489261122
tBodyGyroJerk-mean()-X,0.00039924906490106695
tBodyGyroJerk-mad()-Y,0.0003977487602956183
tBodyAccJerk-mad()-Z,0.00039420059586223183
"fBodyAccJerk-bandsEnergy()-17,32n",0.00039203878111731877
fBodyGyro-mad()-Z,0.0003912419439274843
"fBodyGyro-bandsEnergy()-17,24nn",0.0003907495458480375
tBodyAccJerk-min()-X,0.0003858624213508369
fBodyAcc-kurtosis()-X,0.00038447965588502236
"tBodyAccJerk-correlation()-Y,Z",0.00038006127877979087
tBodyGyroMag-min(),0.0003797237536931815
tBodyAcc-energy()-Y,0.0003751146879202154
fBodyAcc-kurtosis()-Z,0.0003734028402225394
tBodyAccJerk-entropy()-Z,0.0003730068605377496
tGravityAccMag-mean(),0.00037247618143206046
fBodyAcc-energy()-Z,0.00037020274978825577
tGravityAccMag-arCoeff()2,0.00036950174996401894
fBodyAccMag-maxInds,0.0003687567262958197
fBodyAccJerk-meanFreq()-Z,0.00036868010388605257
"tBodyGyro-arCoeff()-X,4",0.00036851238819564933
fBodyAcc-mean()-Z,0.0003621333874696712
fBodyAcc-entropy()-Z,0.00036130394869715316
"angle(tBodyGyroJerkMean,gravityMean)",0.00035871361336917043
fBodyAcc-mean()-Y,0.00035832501854016435
tBodyGyroMag-mad(),0.00035731324951710354
